科室,性别,年龄,疾病种类,是否住院,费用,是否有总费用详情,挂号费,检查费,检验费,材料费,床位费,治疗费,护理费,氧气费,监护费,血糖监测,药品费,时长,费用详情,结算
内科,3,18-65,体检,0,168,1,1,168,0,0,0,0,0,0,0,0,0,1,168（检查费+检验费）,当天
内科,3,30-99,肺炎,1,2000-4000,0,1,200-400,200-400,1,1,1,1,0,0,0,80+150,"7,14",2000-6000药品（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+材料费+检验费400+检查费200）药品,7-14天
内科,3,18-40,高热待诊,0,100-200,0,1,0,100-200,0,0,0,0,0,0,0,20+100,1,100-200（血常规13.4+C反应蛋白26.8+血培养）,当天
内科,3,18-41,腹泻待诊,0,50-200,0,1,0,50-200,0,0,0,0,0,0,0,40+100,1,50-200（大便常规9+大便隐血2.4+大便培养+血常规13.4）,当天
内科,3,18-55,上腹部疼痛待诊,1,200-500,0,1,0,200-500,0,1,0,0,0,0,0,40+150,"1,5",200-500（血常规13.4+腹部彩超56）,当天或3-5天
内科,3,18-55,下腹部疼痛待诊,1,200-500,0,1,0,200-500,0,1,0,0,0,0,0,40+150,"1,5",200-500（血常规13.4+腹部彩超56+腹部平片56）,当天或3-5天
内科,3,18-55,结石待排查,1,200-500,0,1,0,200-500,0,1,0,0,0,0,0,40+200,"1,5",200-500（尿常规11.2+泌尿系彩超56+血常规13.4）,当天或3-5天
内科,3,18-55,急性支气管炎,1,1300-2800,0,1,200-400,200-400,1,1,1,1,0,0,0,142.85+400,"5,7",1300-2800（床位费25--55/天+治疗费40-80+药品费+护理费8.00--5.6/天+检验费200-400+检查费200-400+材料费）,5-7天
内科,3,45-99,慢阻肺,1,1400-7000,0,1,554.6,1100,1,1,1,1,1,1,0,80+500,"7,14",4000-7000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1100+检查费554.6+氧气费20--40/天+监护费124.8/天+材料费）,7-14天
内科,3,45-99,冠心病,1,2700-5500,0,1,554.6,1300,1,1,1,1,1,1,0,50+80,"7,10",2700-5500（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1300+检查费554.6+氧气费20--40/天+监护费124.8/天+材料费）,7-10天
内科,3,45-99,肺心病,1,5000-8000,0,1,554.6,1300,1,1,1,1,1,1,0,251+400,"7,10",5000-8000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1300+检查费554.6+氧气费20--40/天+监护费124.8/天+材料费）,7-10天
内科,3,45-99,高血压,1,1800-2500,0,1,400,800,1,1,1,1,0,0,0,100+100,"5,7",1800-2500（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费800+检查费400+材料费）,5-7天
内科,3,45-99,糖尿病,1,3000-8000,0,1,554,1000,1,1,1,1,0,0,0,200+700,"7,14",3000-8000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1000+检查费554+血糖监测7.2/次+材料费）,7-14天
内科,3,45-99,头晕待诊,1,3000-5000,0,1,168,400,1,1,1,1,0,0,0,300+900,"5,7",3000-5000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费400+检查费168+材料费）,5-7天
内科,3,45-99,哮喘,1,3000-5000,0,1,500,1100,1,1,1,1,1,1,0,150+100,"7,14",3000-5000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1100+检查费500+氧气费20--40/天+监护费124.8/天+材料费）,7-14天
内科,3,18-60,急性胃炎,1,200-1500,0,1,200-400,200-400,1,1,1,1,0,0,0,80+100,"1,5",200-1500（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费400+检查费200+材料费）,2-5天
内科,3,45-99,慢性胃炎,1,3000-5000,0,1,200,400,1,1,1,1,0,0,0,80+100,"5,7",3000-5000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费400+检查费200+材料费）,5-7天
内科,3,45-99,晚期肿瘤,1,2000-3000,0,1,0,200-400,1,1,1,1,1,1,0,280+500,"7,30",2000+（姑息治疗，主要是输液，打针治疗）,时间不定（1周到几个月）
内科,3,45-99,老年性心脏病,1,4000-7000,0,1,554,1300,1,1,1,1,1,1,0,120+100,"7,14",4000-7000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费1300+检查费554+氧气费20--40/天+监护费124.8/天+材料费）,7-14天
外科,1,6-14,小儿包皮手术,0,1280,0,1,0,30,1,0,1000,0,0,0,0,90,1,1280（治疗费+药品费+检验费用30）,当天
外科,3,18-60,左手外伤清创,0,350-400,0,1,0,0,0,0,94,0,0,0,0,200+100,1,350-400（治疗费94+药品费）,当天
外科,3,18-60,左脚外伤清创,0,350-400,0,1,0,0,0,0,94,0,0,0,0,200+100,1,350-400（治疗费94+药品费）,当天
外科,3,18-60,右手外伤清创,0,350-400,0,1,0,0,0,0,94,0,0,0,0,200+100,1,350-400（治疗费94+药品费）,当天
外科,3,18-60,右脚外伤清创,0,350-400,0,1,0,0,0,0,94,0,0,0,0,200+100,1,350-400（治疗费94+药品费）,当天
外科,3,18-60,头部外伤,0,400-500,0,1,0,0,0,0,94,0,0,0,0,300+100,1,400-500（治疗费94+药品费+检查费）,当天
外科,3,18-60,破伤风疫苗,0,408,0,1,0,0,0,0,94,0,0,0,0,314,1,408（治疗费+药品费）,当天
外科,3,18-60,外伤清创缝合,0,300,0,1,0,0,0,0,94,0,0,0,0,206,1,300（治疗费94+药品费）,当天
骨科,3,18-60,骨关节炎,1,1200-3000,0,1,200,400,1,1,1,1,0,0,0,50+150,"5,7",1200-3000（床位费25--55/天+治疗费+药品费+护理费8.00--5.6/天+检验费400+检查费200+材料费）,5-7天
骨科,3,18-60,骨折待查,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,骨折,1,,,1,300,80,1,1,1,1,0,0,0,90+150,"5,7",,
骨科,3,18-60,骨折,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,腰痛待查,0,200-248-268,0,1,60,0,0,0,1,0,0,0,0,50+150,1,200+（检查费60+挂号费10+治疗费）,当天
骨科,3,18-60,左膝疼痛待查,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,左肩疼痛待查,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,右膝疼痛待查,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,右肩疼痛待查,0,104,0,1,94,0,0,0,0,0,0,0,0,50+150,1,104（检查费+10元挂号费）,当天
骨科,3,18-60,胸部CT检查,0,180,0,1,170,0,0,0,0,0,0,0,0,0,1,180（检查费+10元挂号费）,当天
骨科,3,18-60,腹部CT检查,0,180,0,1,170,0,0,0,0,0,0,0,0,0,1,180（检查费+10元挂号费）,当天
骨科,3,18-60,头部CT检查,0,180,0,1,170,0,0,0,0,0,0,0,0,0,1,180（检查费+10元挂号费）,当天
妇科,2,18-60,阴道炎,0,110-200,0,1,100-190,0,0,0,0,0,0,0,0,40+100,1,110-200元（检查费+10元挂号费）,当天
妇科,2,18-60,下腹坠痛1周+，待查,0,700-1200,0,1,120,15,0,0,0,0,0,0,0,300+100,1,700-1200元（检查费120元+挂号费10元+药品费）,7-10天
妇科,2,18-60,妇科检查,0,80-500,0,1,60/240/440,0,0,0,0,0,0,0,0,0,1,80-500元（检查费60元或240元或者440元+挂号费10元）,当天
妇科,2,18-60,霉菌性阴道炎,0,500-1000,0,1,60/240/440,0,0,0,1,0,0,0,0,90+80,1,500-1000元（检查费60元或240元或者440元+挂号费10元+药品费几十元+治疗费）,5-7天
妇科,2,18-40,早孕筛查,0,165,0,1,155,0,0,0,0,0,0,0,0,0,1,165元（彩超120+血hcg35元+挂号费10元),当天
妇科,2,18-40,血hcg检查,0,85,0,1,75,0,0,0,0,0,0,0,0,0,1,85元（孕酮40元+血HCG35元+挂号费10元),当天
